id, age, sex, region, income, married, children, car, save_act, current_act, mortgage, pep
ID12101, 48, FEMALE, INNER_CITY, 17546.0, NO, 1, NO, NO, NO, NO, YES
ID12102, 40, MALE, TOWN, 30085.1, YES, 3, YES, NO, YES, YES, NO
ID12103, 51, FEMALE, INNER_CITY, 16575.4, YES, 0, YES, YES, YES, NO, NO
ID12104, 23, FEMALE, TOWN, 20375.4, YES, 3, NO, NO, YES, NO, NO
ID12105, 57, FEMALE, RURAL, 50576.3, YES, 0, NO, YES, NO, NO, NO
ID12106, 57, FEMALE, TOWN, 37869.6, YES, 2, NO, YES, YES, NO, YES
ID12107, 22, MALE, RURAL, 8877.07, NO, 0, NO, NO, YES, NO, YES
ID12108, 58, MALE, TOWN, 24946.6, YES, 0, YES, YES, YES, NO, NO
ID12109, 37, FEMALE, SUBURBAN, 25304.3, YES, 2, YES, NO, NO, NO, NO
ID12110, 54, MALE, TOWN, 24212.1, YES, 2, YES, YES, YES, NO, NO
ID12111, 66, FEMALE, TOWN, 59803.9, YES, 0, NO, YES, YES, NO, NO
ID12112, 52, FEMALE, INNER_CITY, 26658.8, NO, 0, YES, YES, YES, YES, NO
ID12113, 44, FEMALE, TOWN, 15735.8, YES, 1, NO, YES, YES, YES, YES
ID12114, 66, FEMALE, TOWN, 55204.7, YES, 1, YES, YES, YES, YES, YES
ID12115, 36, MALE, RURAL, 19474.6, YES, 0, NO, YES, YES, YES, NO
ID12116, 38, FEMALE, INNER_CITY, 22342.1, YES, 0, YES, YES, YES, YES, NO
ID12117, 37, FEMALE, TOWN, 17729.8, YES, 2, NO, NO, NO, YES, NO
ID12118, 46, FEMALE, SUBURBAN, 41016.0, YES, 0, NO, YES, NO, YES, NO
ID12119, 62, FEMALE, INNER_CITY, 26909.2, YES, 0, NO, YES, NO, NO, YES
ID12120, 31, MALE, TOWN, 22522.8, YES, 0, YES, YES, YES, NO, NO
ID12121, 61, MALE, INNER_CITY, 57880.7, YES, 2, NO, YES, NO, NO, YES
ID12122, 50, MALE, TOWN, 16497.3, YES, 2, NO, YES, YES, NO, NO
ID12123, 54, MALE, INNER_CITY, 38446.6, YES, 0, NO, YES, YES, NO, NO
ID12124, 27, FEMALE, TOWN, 15538.8, NO, 0, YES, YES, YES, YES, NO
ID12125, 22, MALE, INNER_CITY, 12640.3, NO, 2, YES, YES, YES, NO, NO
ID12126, 56, MALE, INNER_CITY, 41034.0, YES, 0, YES, YES, YES, YES, NO
ID12127, 45, MALE, INNER_CITY, 20809.7, YES, 0, NO, YES, YES, YES, NO
ID12128, 39, FEMALE, TOWN, 20114.0, YES, 1, NO, NO, YES, NO, YES
ID12129, 39, FEMALE, INNER_CITY, 29359.1, NO, 3, YES, NO, YES, YES, NO
ID12130, 61, MALE, RURAL, 24270.1, YES, 1, NO, NO, YES, NO, YES
ID12131, 61, FEMALE, RURAL, 22942.9, YES, 2, NO, YES, YES, NO, NO
ID12132, 20, FEMALE, TOWN, 16325.8, YES, 2, NO, YES, NO, NO, NO
ID12133, 45, MALE, SUBURBAN, 23443.2, YES, 1, YES, YES, YES, NO, YES
ID12134, 33, FEMALE, INNER_CITY, 29921.3, NO, 3, YES, YES, NO, NO, NO
ID12135, 43, MALE, SUBURBAN, 37521.9, NO, 0, NO, YES, YES, NO, YES
ID12136, 27, FEMALE, INNER_CITY, 19868.0, YES, 2, NO, YES, YES, NO, NO
ID12137, 19, MALE, RURAL, 10953.0, YES, 3, YES, YES, YES, NO, NO
ID12138, 36, FEMALE, RURAL, 13381.0, NO, 0, YES, NO, YES, NO, YES
ID12139, 43, FEMALE, TOWN, 18504.3, YES, 0, YES, YES, YES, NO, NO
ID12140, 66, FEMALE, SUBURBAN, 25391.5, NO, 2, NO, NO, YES, NO, NO
ID12141, 55, MALE, TOWN, 26774.2, YES, 0, NO, NO, YES, YES, YES
ID12142, 47, FEMALE, INNER_CITY, 26952.6, YES, 0, YES, NO, YES, NO, NO
ID12143, 67, MALE, TOWN, 55716.5, NO, 2, YES, YES, NO, NO, YES
ID12144, 32, FEMALE, TOWN, 27571.5, YES, 0, YES, NO, YES, YES, NO
ID12145, 20, MALE, INNER_CITY, 13740.0, NO, 2, YES, YES, YES, YES, NO
ID12146, 64, MALE, INNER_CITY, 52670.6, YES, 2, NO, YES, YES, YES, YES
ID12147, 50, FEMALE, INNER_CITY, 13283.9, NO, 1, YES, YES, YES, NO, YES
ID12148, 29, MALE, INNER_CITY, 13106.6, NO, 2, NO, YES, YES, YES, YES
ID12149, 52, MALE, INNER_CITY, 39547.8, NO, 2, YES, NO, YES, NO, YES
ID12150, 47, FEMALE, RURAL, 17867.3, YES, 2, YES, YES, NO, NO, NO
ID12151, 24, MALE, TOWN, 14309.7, NO, 2, YES, YES, NO, NO, NO
ID12152, 36, MALE, TOWN, 23894.8, YES, 0, NO, NO, NO, NO, NO
ID12153, 43, MALE, TOWN, 16259.7, YES, 1, NO, YES, YES, NO, YES
ID12154, 48, MALE, SUBURBAN, 29794.1, NO, 1, NO, YES, YES, NO, YES
ID12155, 63, MALE, TOWN, 56842.5, YES, 0, NO, YES, YES, YES, NO
ID12156, 52, FEMALE, RURAL, 47835.8, NO, 3, NO, YES, NO, NO, YES
ID12157, 58, FEMALE, INNER_CITY, 24977.5, NO, 0, NO, NO, YES, NO, YES
ID12158, 28, MALE, INNER_CITY, 23124.9, YES, 0, NO, YES, YES, NO, YES
ID12159, 29, FEMALE, INNER_CITY, 15143.8, YES, 0, NO, NO, YES, NO, NO
ID12160, 34, MALE, INNER_CITY, 25334.3, NO, 1, YES, YES, YES, YES, YES
ID12161, 42, FEMALE, INNER_CITY, 24763.3, YES, 1, NO, YES, YES, YES, YES
ID12162, 65, FEMALE, INNER_CITY, 36589.0, NO, 1, YES, NO, YES, NO, YES
ID12163, 47, MALE, INNER_CITY, 27022.6, YES, 2, NO, YES, YES, NO, NO
ID12164, 20, MALE, INNER_CITY, 11700.4, YES, 0, NO, YES, NO, NO, NO
ID12165, 21, MALE, TOWN, 5014.21, NO, 0, YES, YES, YES, YES, NO
