date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2013-05-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,2.78,1.5231
2013-05-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.39,1.3082
2013-05-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.35,1.2872
2013-05-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,4.49,2.459
2013-05-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.2,1.2037
2013-05-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,13.64,7.4684
2013-05-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,7.31,4.0016
2013-05-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,25.72,14.0783
2013-05-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,24.06,13.17
2013-05-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.29,1.255
2013-05-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,37.35,20.4456
2013-05-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,30.89,16.9116
2013-05-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,39.92,21.8515
2013-05-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.4,0.7658
2013-05-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,14.02,7.6748
2013-05-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.56,1.9489
2013-05-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,10.41,5.7006
2013-05-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,6.21,3.3993
2013-05-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,5.89,3.2253
2013-05-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,6.17,3.379
2013-05-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.62,6.9056
2013-05-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,3.26,1.7864
2013-05-15,,,National Average,,,pulses and nuts,"Peas (green, dry)",KG,actual,Retail,TRY,2.39,1.3073
2013-05-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,2.25,1.2311
2013-05-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,4.08,2.2323
2013-05-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,1.47,0.8037
2013-05-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,8.14,4.4571
2013-05-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,1.16,0.6341
2013-05-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,1.7,0.9313
2013-06-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,2.81,1.4814
2013-06-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.39,1.2601
2013-06-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.37,1.2493
2013-06-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,4.58,2.412
2013-06-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.21,1.1663
2013-06-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,13.78,7.2574
2013-06-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,6.72,3.5405
2013-06-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,25.24,13.2959
2013-06-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,24.19,12.7437
2013-06-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.27,1.1965
2013-06-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,37.65,19.8368
2013-06-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,31.02,16.3396
2013-06-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,39.76,20.9456
2013-06-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.4,0.7357
2013-06-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,14.0,7.3754
2013-06-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.44,1.8132
2013-06-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,10.42,5.4893
2013-06-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,6.19,3.2627
2013-06-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,6.1,3.2135
2013-06-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,6.06,3.1914
2013-06-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.44,6.5527
2013-06-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,3.28,1.7291
2013-06-15,,,National Average,,,pulses and nuts,"Peas (green, dry)",KG,actual,Retail,TRY,2.38,1.2549
2013-06-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,2.39,1.2579
2013-06-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,3.97,2.0933
2013-06-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,1.26,0.6655
2013-06-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,7.77,4.0934
2013-06-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,1.16,0.6098
2013-06-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,1.69,0.8884
